candidatenumber,examYear,Student OpenEMIS ID,secondary,primaryschool,sex,EnglishRawscore,MathRawScore,EnglishConvertedScore,MathconvertedScore,Totals,essay,StudentParish,AddressAreaCode
001052,2024,1534170119,Coleridge And Parry School,ST. ALBAN'S JUNIOR PRIMARY,F,71,64,104.27,105.08,209.35,B,ST. LUCY,SL
001053,2024,1534381788,Coleridge And Parry School,ST ALBAN'S JUNIOR PRIMARY,F,76,44,107.97,94.25,202.22,B,ST. JAMES,SJ
001054,2024,,Coleridge And Parry School,ST. ALBAN'S JUNIOR PRIMARY,F,75,61,107.23,103.46,210.69,C,ST. PETER,SP
001055,2024,1534170290,Queen's College,ST. ALBAN'S JUNIOR PRIMARY,F,88,90,116.85,119.17,236.02,C,ST. PETER,SP
001056,2024,1534170316,Daryl Jordan Secondary School,ST. ALBAN'S JUNIOR PRIMARY,F,44,37,84.29,90.45,174.74,D,ST. LUCY,SL
001057,2024,1534170323,Ellerslie Secondary School,ST. ALBAN'S JUNIOR PRIMARY,F,60,43,96.13,93.7,189.83,E,ST. LUCY,SL
001058,2024,1534170231,Combermere School,ST. ALBAN'S JUNIOR PRIMARY,F,85,75,114.63,111.04,225.67,C,ST. JAMES,SJ
001059,2024,1534170106,The Frederick Smith Secondary School,ST. ALBAN'S JUNIOR PRIMARY,F,22,13,68.01,77.45,145.46,D,ST. JAMES,SJ
001060,2024,1541618151,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,F,80,86,110.93,117,227.93,B,ST. PETER,SP
001061,2024,1534170249,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,F,71,71,104.27,108.87,213.14,C,ST. PETER,SP
001062,2024,1534170107,Alexandra Secondary School,ST ALBAN'S JUNIOR PRIMARY,F,75,69,107.23,107.79,215.02,A,ST. PETER,SP
001063,2024,1534170081,Ellerslie Secondary School,ST. ALBAN'S JUNIOR PRIMARY,F,71,32,104.27,87.75,192.02,C,ST. LUCY,SL
001064,2024,1531504473,Alexandra Secondary School,ST. ALBAN'S JUNIOR PRIMARY,F,80,60,110.93,102.91,213.84,B,ST. PETER,SP
002001,2024,1539715400,The Frederick Smith Secondary School,GORDON GREENIDGE PRIMARY,M,34,11,76.89,76.37,153.26,D,ST. JAMES,SJ
002002,2024,1539715412,The Lester Vaughn School,GORDON GREENIDGE PRIMARY,M,61,26,96.87,84.5,181.37,D,ST. JAMES,SJ
002003,2024,1539715401,Coleridge And Parry School,GORDON GREENIDGE PRIMARY,M,55,47,92.43,95.87,188.3,D,ST. ANDREW,SA
002004,2024,1539715413,Coleridge And Parry School,GORDON GREENIDGE PRIMARY,M,58,35,94.65,89.37,184.02,D,ST. PETER,SP
002005,2024,1539715414,Parkinson Secondary School,GORDON GREENIDGE PRIMARY,M,37,14,79.11,77.99,157.1,D,ST. JAMES,SJ
002006,2024,1542200562,Coleridge And Parry School,GORDON GREENIDGE PRIMARY,M,52,49,90.21,96.95,187.16,D,ST. MICHAEL,SM
002007,2024,1530152281,Coleridge And Parry School,GORDON GREENIDGE PRIMARY,M,74,51,106.49,98.04,204.53,D,ST. MICHAEL,SM
002008,2024,1539715403,Coleridge And Parry School,GORDON GREENIDGE PRIMARY,M,45,64,85.03,105.08,190.11,C,ST. JAMES,SJ
002009,2024,1539715415,Queen's College,GORDON GREENIDGE PRIMARY,M,85,95,114.63,121.87,236.5,A,ST. JAMES,SJ
002010,2024,1539715404,The Frederick Smith Secondary School,GORDON GREENIDGE PRIMARY,M,25,43,70.23,93.7,163.93,E,ST. JAMES,SJ
002011,2024,1539715416,Queen's College,GORDON GREENIDGE PRIMARY,M,82,95,112.41,121.87,234.28,B,ST. JAMES,SJ
002012,2024,1539715405,Alexandra Secondary School,GORDON GREENIDGE PRIMARY,M,71,82,104.27,114.83,219.1,C,ST. PETER,SP
002013,2024,1530571961,St Leonard's Boys Secondary School,GORDON GREENIDGE PRIMARY,M,63,26,98.35,84.5,182.85,D,ST. PETER,SP
002014,2024,1539715417,Alleyne School,GORDON GREENIDGE PRIMARY,M,73,53,105.75,99.12,204.87,B,ST. JAMES,SJ
002015,2024,1530052846,Coleridge And Parry School,GORDON GREENIDGE PRIMARY,F,75,56,107.23,100.75,207.98,B,ST. JAMES,SJ
002016,2024,1539715418,Alexandra Secondary School,GORDON GREENIDGE PRIMARY,F,78,63,109.45,104.54,213.99,C,ST. JAMES,SJ
002017,2024,1539715408,Coleridge And Parry School,GORDON GREENIDGE PRIMARY,F,72,36,105.01,89.91,194.92,D,ST. ANDREW,SA
002018,2024,1530052840,Alexandra Secondary School,GORDON GREENIDGE PRIMARY,F,79,58,110.19,101.83,212.02,C,ST. JAMES,SJ
002019,2024,1539715420,Coleridge And Parry School,GORDON GREENIDGE PRIMARY,F,70,47,103.53,95.87,199.4,C,ST. JAMES,SJ
002020,2024,1539715409,Ellerslie Secondary School,GORDON GREENIDGE PRIMARY,F,55,29,92.43,86.12,178.55,D,ST. PETER,SP
002021,2024,1833656697,Harrison College,GORDON GREENIDGE PRIMARY,F,80,94,110.93,121.33,232.26,B,ST. THOMAS,ST
002023,2024,1538061691,Springer Memorial Secondary School,GORDON GREENIDGE PRIMARY,F,56,44,93.17,94.25,187.42,D,ST. PETER,SP
002024,2024,1539715421,Alleyne School,GORDON GREENIDGE PRIMARY,F,79,70,110.19,108.33,218.52,C,ST. THOMAS,ST
002025,2024,1539715410,Coleridge And Parry School,GORDON GREENIDGE PRIMARY,F,63,45,98.35,94.79,193.14,B,ST. ANDREW,SA
002026,2024,1539715411,Coleridge And Parry School,GORDON GREENIDGE PRIMARY,F,57,55,93.91,100.21,194.12,D,ST. JAMES,SJ
002027,2024,1539715422,Queen's College,GORDON GREENIDGE PRIMARY,F,86,93,115.37,120.79,236.16,D,ST. JAMES,SJ
002028,2024,,Daryl Jordan Secondary School,GORDON GREENIDGE PRIMARY,F,26,11,70.97,76.37,147.34,E,ST. PETER,SP
002029,2024,,The Frederick Smith Secondary School,GORDON GREENIDGE PRIMARY,M,11,6,59.87,73.66,133.53,E,ST. JAMES,SJ
005001,2024,1517995845,Coleridge And Parry School,ST. SILAS PRIMARY,M,64,37,99.09,90.45,189.54,D,ST. JAMES,SJ
005002,2024,1534381775,Ellerslie Secondary School,ST. SILAS PRIMARY,M,48,30,87.25,86.66,173.91,D,ST. JAMES,SJ
005003,2024,1534381776,Ellerslie Secondary School,ST SILAS PRIMARY,M,43,15,83.55,78.54,162.09,D,ST. JAMES,SJ
005004,2024,1534381778,Coleridge And Parry School,ST SILAS PRIMARY,M,59,35,95.39,89.37,184.76,C,ST. JAMES,SJ
005006,2024,1518402874,Ellerslie Secondary School,ST SILAS PRIMARY,M,50,21,88.73,81.79,170.52,C,ST. JAMES,SJ
005007,2024,1534381780,Alexandra Secondary School,ST SILAS PRIMARY,M,84,62,113.89,104,217.89,C,ST. JAMES,SJ
005008,2024,1527704204,St Leonard's Boys Secondary School,ST. SILAS PRIMARY,M,38,18,79.85,80.16,160.01,E,ST. THOMAS,ST
005009,2024,1534381781,Alexandra Secondary School,ST SILAS PRIMARY,F,83,69,113.15,107.79,220.94,D,ST. MICHAEL,SM
005010,2024,1534381782,Coleridge And Parry School,ST SILAS PRIMARY,F,65,51,99.83,98.04,197.87,C,ST. JAMES,SJ
005011,2024,1534381783,The Frederick Smith Secondary School,ST SILAS PRIMARY,F,49,24,87.99,83.41,171.4,C,ST. JAMES,SJ
005012,2024,1534381784,Combermere School,ST SILAS PRIMARY,F,83,92,113.15,120.25,233.4,B,ST. JAMES,SJ
005013,2024,1538892414,Springer Memorial Secondary School,ST. SILAS PRIMARY,F,60,42,96.13,93.16,189.29,C,ST. PETER,SP
005014,2024,1534381785,Coleridge And Parry School,ST SILAS PRIMARY,F,65,48,99.83,96.41,196.24,D,ST. JAMES,SJ
005015,2024,1534381786,Coleridge And Parry School,ST SILAS PRIMARY,F,71,57,104.27,101.29,205.56,B,ST. JAMES,SJ
005016,2024,1518297466,Springer Memorial Secondary School,ST SILAS PRIMARY,F,59,35,95.39,89.37,184.76,D,ST. GEORGE,SG
005017,2024,1534381787,Alexandra Secondary School,ST SILAS PRIMARY,F,87,70,116.11,108.33,224.44,D,ST. PETER,SP
005018,2024,1534381789,Ellerslie Secondary School,ST SILAS PRIMARY,F,49,33,87.99,88.29,176.28,C,ST. JAMES,SJ
005019,2024,1534381790,Coleridge And Parry School,ST SILAS PRIMARY,F,58,58,94.65,101.83,196.48,C,ST. JAMES,SJ
005020,2024,1534381791,The St Michael School,ST SILAS PRIMARY,F,86,98,115.37,123.5,238.87,A,CHRIST CHURCH,CC
005021,2024,,The Frederick Smith Secondary School,ST. SILAS PRIMARY,M,7,3,56.91,72.04,128.95,E,ST. JAMES,SJ
007001,2024,1537545973,Alleyne School,A. DACOSTA EDWARDS PRIMARY,M,69,41,102.79,92.62,195.41,B,ST. ANDREW,SA
007002,2024,1537545975,St George Secondary School,A. DACOSTA EDWARDS PRIMARY,M,51,16,89.47,79.08,168.55,D,ST. ANDREW,SA
007003,2024,1537545976,St Leonard's Boys Secondary School,A. DACOSTA EDWARDS PRIMARY,M,58,25,94.65,83.95,178.6,D,ST. ANDREW,SA
007004,2024,1537551798,St Leonard's Boys Secondary School,A. DACOSTA EDWARDS PRIMARY,M,36,23,78.37,82.87,161.24,E,ST. JOSEPH,SJS
007005,2024,1537545978,Queen's College,A. DACOSTA EDWARDS PRIMARY,M,84,96,113.89,122.42,236.31,B,ST. ANDREW,SA
007006,2024,1537545979,Parkinson Secondary School,A. DACOSTA EDWARDS PRIMARY,M,17,11,64.31,76.37,140.68,E,ST. JOSEPH,SJS
007007,2024,1537545980,Alleyne School,A. DACOSTA EDWARDS PRIMARY,M,70,75,103.53,111.04,214.57,C,ST. ANDREW,SA
007008,2024,1537545981,Alexandra Secondary School,A. DACOSTA EDWARDS PRIMARY,M,69,92,102.79,120.25,223.04,C,ST. ANDREW,SA
007009,2024,1537545982,Alleyne School,A. DACOSTA EDWARDS PRIMARY,M,81,58,111.67,101.83,213.5,C,ST. ANDREW,SA
007010,2024,1537545983,St Leonard's Boys Secondary School,A. DACOSTA EDWARDS PRIMARY,M,31,31,74.67,87.2,161.87,D,ST. ANDREW,SA
007011,2024,1537545984,Daryl Jordan Secondary School,A. DACOSTA EDWARDS PRIMARY,M,17,14,64.31,77.99,142.3,E,ST. ANDREW,SA
007012,2024,1537546020,Ellerslie Secondary School,A. DACOSTA EDWARDS PRIMARY,M,56,22,93.17,82.33,175.5,D,ST. ANDREW,SA
007013,2024,1833653788,Alleyne School,A. DACOSTA EDWARDS PRIMARY,M,83,73,113.15,109.96,223.11,C,ST. ANDREW,SA
007014,2024,1537545985,Combermere School,A. DACOSTA EDWARDS PRIMARY,M,84,83,113.89,115.37,229.26,C,ST. ANDREW,SA
007015,2024,1537545986,Alexandra Secondary School,A. DACOSTA EDWARDS PRIMARY,F,82,78,112.41,112.66,225.07,C,ST. ANDREW,SA
007016,2024,1537545988,Grantley Adams Memorial School,A. DACOSTA EDWARDS PRIMARY,F,61,27,96.87,85.04,181.91,C,ST. ANDREW,SA
007017,2024,1537545990,Alexandra Secondary School,A. DACOSTA EDWARDS PRIMARY,F,78,81,109.45,114.29,223.74,C,ST. ANDREW,SA
007018,2024,1537545992,The Lester Vaughn School,A. DACOSTA EDWARDS PRIMARY,F,57,36,93.91,89.91,183.82,D,ST. ANDREW,SA
007019,2024,1537545993,Combermere School,A. DACOSTA EDWARDS PRIMARY,F,80,87,110.93,117.54,228.47,C,ST. ANDREW,SA
007020,2024,1537545996,Grantley Adams Memorial School,A. DACOSTA EDWARDS PRIMARY,F,15,20,62.83,81.25,144.08,E,ST. JOSEPH,SJS
007021,2024,1537545998,The Lester Vaughn School,A. DACOSTA EDWARDS PRIMARY,F,61,54,96.87,99.66,196.53,C,ST. ANDREW,SA
007022,2024,1537545999,Combermere School,A. DACOSTA EDWARDS PRIMARY,F,78,87,109.45,117.54,226.99,D,ST. ANDREW,SA
007023,2024,1537546000,Alleyne School,A. DACOSTA EDWARDS PRIMARY,F,64,71,99.09,108.87,207.96,C,ST. ANDREW,SA
007024,2024,1537546002,Coleridge And Parry School,A. DACOSTA EDWARDS PRIMARY,F,74,39,106.49,91.54,198.03,B,ST. ANDREW,SA
011001,2024,1551106698,Combermere School,ALL SAINTS' PRIMARY,M,80,80,110.93,113.75,224.68,C,ST. PETER,SP
011002,2024,1538071401,Combermere School,ALL SAINTS' PRIMARY,M,79,90,110.19,119.17,229.36,B,ST. PETER,SP
011003,2024,1538071412,Daryl Jordan Secondary School,ALL SAINTS' PRIMARY,M,23,27,68.75,85.04,153.79,D,ST. PETER,SP
011004,2024,1553870616,Coleridge And Parry School,ALL SAINTS' PRIMARY,M,60,36,96.13,89.91,186.04,D,ST. PETER,SP
011005,2024,1538071413,Alexandra Secondary School,ALL SAINTS' PRIMARY,M,77,55,108.71,100.21,208.92,D,ST. PETER,SP
011006,2024,1538071402,Queen's College,ALL SAINTS' PRIMARY,M,87,92,116.11,120.25,236.36,A,ST. PETER,SP
011007,2024,1643214601,Coleridge And Parry School,ALL SAINTS' PRIMARY,M,60,55,96.13,100.21,196.34,D,ST. PETER,SP
011008,2024,1538071433,Coleridge And Parry School,ALL SAINTS' PRIMARY,M,53,48,90.95,96.41,187.36,E,ST. PETER,SP
011009,2024,1538071403,Alexandra Secondary School,ALL SAINTS' PRIMARY,M,73,58,105.75,101.83,207.58,A,ST. PETER,SP
011010,2024,1538071435,Alexandra Secondary School,ALL SAINTS' PRIMARY,M,67,64,101.31,105.08,206.39,D,ST. PETER,SP
011011,2024,1538071415,St Leonard's Boys Secondary School,ALL SAINTS' PRIMARY,M,31,25,74.67,83.95,158.62,E,ST. ANDREW,SA
011012,2024,1538071436,Coleridge And Parry School,ALL SAINTS' PRIMARY,M,64,52,99.09,98.58,197.67,D,ST. PETER,SP
011013,2024,,Daryl Jordan Secondary School,ALL SAINTS' PRIMARY,M,5,1,55.43,70.95,126.38,E,ST. LUCY,SL
011014,2024,,Ellerslie Secondary School,ALL SAINTS' PRIMARY,M,56,8,93.17,74.74,167.91,E,ST. PETER,SP
011015,2024,1538071404,Coleridge And Parry School,ALL SAINTS' PRIMARY,M,60,51,96.13,98.04,194.17,D,ST. PETER,SP
011016,2024,1538071405,Alexandra Secondary School,ALL SAINTS' PRIMARY,M,74,63,106.49,104.54,211.03,C,ST. LUCY,SL
011017,2024,1538071437,Coleridge And Parry School,ALL SAINTS' PRIMARY,M,61,50,96.87,97.5,194.37,E,ST. PETER,SP
011018,2024,,Grantley Adams Memorial School,ALL SAINTS' PRIMARY,M,27,5,71.71,73.12,144.83,D,ST. ANDREW,SA
011019,2024,1538071418,Alexandra Secondary School,ALL SAINTS' PRIMARY,M,62,72,97.61,109.41,207.02,D,ST. PETER,SP
011020,2024,1538071419,Parkinson Secondary School,ALL SAINTS' PRIMARY,M,20,10,66.53,75.83,142.36,E,ST. MICHAEL,SM
011021,2024,1530052838,Coleridge And Parry School,ALL SAINTS' PRIMARY,M,54,51,91.69,98.04,189.73,D,ST. LUCY,SL
011022,2024,1538071417,Daryl Jordan Secondary School,ALL SAINTS' PRIMARY,M,30,18,73.93,80.16,154.09,D,ST. PETER,SP
011023,2024,1538071406,Parkinson Secondary School,ALL SAINTS' PRIMARY,M,54,21,91.69,81.79,173.48,D,ST. ANDREW,SA
011024,2024,1538071439,Coleridge And Parry School,ALL SAINTS' PRIMARY,M,65,36,99.83,89.91,189.74,C,ST. LUCY,SL
011025,2024,1538071420,Ellerslie Secondary School,ALL SAINTS' PRIMARY,M,46,48,85.77,96.41,182.18,D,ST. PETER,SP
011026,2024,1538071420,Alexandra Secondary School,ALL SAINTS' PRIMARY,M,79,88,110.19,118.08,228.27,B,ST. LUCY,SL
011027,2024,1538071442,The Frederick Smith Secondary School,ALL SAINTS' PRIMARY,M,45,28,85.03,85.58,170.61,C,ST. PETER,SP
011028,2024,1538071407,Daryl Jordan Secondary School,ALL SAINTS' PRIMARY,M,15,6,62.83,73.66,136.49,E,ST. ANDREW,SA
011029,2024,1624451972,Coleridge And Parry School,ALL SAINTS' PRIMARY,M,62,42,97.61,93.16,190.77,C,ST. PETER,SP
011030,2024,1538071408,Alexandra Secondary School,ALL SAINTS' PRIMARY,M,81,79,111.67,113.21,224.88,D,ST. LUCY,SL
011031,2024,1538071806,Daryl Jordan Secondary School,ALL SAINTS' PRIMARY,M,14,9,62.09,75.29,137.38,E,ST. LUCY,SL
011032,2024,1538071421,Alleyne School,ALL SAINTS' PRIMARY,M,70,56,103.53,100.75,204.28,C,ST. LUCY,SL
011033,2024,1538071410,Alexandra Secondary School,ALL SAINTS' PRIMARY,M,79,67,110.19,106.71,216.9,B,ST. PETER,SP
011034,2024,1551106698,Alexandra Secondary School,ALL SAINTS' PRIMARY,M,71,60,104.27,102.91,207.18,C,ST. PETER,SP
011035,2024,1560978481,Harrison College,ALL SAINTS' PRIMARY,F,84,84,113.89,115.92,229.81,C,ST. PETER,SP
011036,2024,1538071443,Ellerslie Secondary School,ALL SAINTS' PRIMARY,F,51,40,89.47,92.08,181.55,D,ST. LUCY,SL
011037,2024,1538071422,Ellerslie Secondary School,ALL SAINTS' PRIMARY,F,58,36,94.65,89.91,184.56,D,ST. PETER,SP
011038,2024,1538071444,The Frederick Smith Secondary School,ALL SAINTS' PRIMARY,F,31,15,74.67,78.54,153.21,E,ST. PETER,SP
011039,2024,1538071445,Daryl Jordan Secondary School,ALL SAINTS' PRIMARY,F,14,7,62.09,74.2,136.29,E,ST. PETER,SP
011040,2024,1518991139,Ellerslie Secondary School,ALL SAINTS' PRIMARY,F,58,37,94.65,90.45,185.1,D,ST. LUCY,SL
011041,2024,1538071392,Ellerslie Secondary School,ALL SAINTS' PRIMARY,F,60,40,96.13,92.08,188.21,C,ST. LUCY,SL
011042,2024,1538071446,Coleridge And Parry School,ALL SAINTS' PRIMARY,F,73,59,105.75,102.37,208.12,D,ST. PETER,SP
011043,2024,1538071447,Coleridge And Parry School,ALL SAINTS' PRIMARY,F,58,64,94.65,105.08,199.73,C,ST. PETER,SP
011044,2024,1538071448,Combermere School,ALL SAINTS' PRIMARY,F,88,73,116.85,109.96,226.81,A,ST. LUCY,SL
011045,2024,1538071423,Coleridge And Parry School,ALL SAINTS' PRIMARY,F,69,56,102.79,100.75,203.54,C,ST. PETER,SP
011046,2024,1538071393,Coleridge And Parry School,ALL SAINTS' PRIMARY,F,77,48,108.71,96.41,205.12,A,ST. PETER,SP
011047,2024,1538071424,Combermere School,ALL SAINTS' PRIMARY,F,80,89,110.93,118.62,229.55,C,ST. MICHAEL,SM
011048,2024,1538071394,Ellerslie Secondary School,ALL SAINTS' PRIMARY,F,59,26,95.39,84.5,179.89,C,ST. PHILIP,SPL
011049,2024,1538071395,Alexandra Secondary School,ALL SAINTS' PRIMARY,F,72,66,105.01,106.16,211.17,C,ST. LUCY,SL
011050,2024,1538071426,Ellerslie Secondary School,ALL SAINTS' PRIMARY,F,58,42,94.65,93.16,187.81,C,ST. LUCY,SL
011051,2024,1538071451,Alexandra Secondary School,ALL SAINTS' PRIMARY,F,71,67,104.27,106.71,210.98,D,ST. PETER,SP
011052,2024,1534611920,Ellerslie Secondary School,ALL SAINTS' PRIMARY,F,61,47,96.87,95.87,192.74,C,ST. PETER,SP
011053,2024,1538071427,Ellerslie Secondary School,ALL SAINTS' PRIMARY,F,63,32,98.35,87.75,186.1,D,ST. JAMES,SJ
011054,2024,1538071451,The Frederick Smith Secondary School,ALL SAINTS' PRIMARY,F,34,10,76.89,75.83,152.72,D,ST. PETER,SP
011055,2024,1538071398,Alexandra Secondary School,ALL SAINTS' PRIMARY,F,74,72,106.49,109.41,215.9,D,ST. PETER,SP
